Name,Dihedral Linking Number
12a_0597,"[[7/3, 7/3]]"
12a_0611,"[[1, 1]]"
12a_0615,"[[0, 0], [3, 3], [2, 2], [3, 3]]"
12a_0617,"[[1, 1]]"
12a_0623,"[[29/39, 29/39]]"
12a_0626,"[[2, 2]]"
12a_0628,"[[0, 0]]"
12a_0629,"[[-1, -1]]"
12a_0631,"[[1/3, 1/3]]"
12a_0633,"[[2/3, 2/3]]"
12a_0634,"[[-190/231, -190/231], [-11/3, -11/3], [-4, -6], [-3, -3]]"
12a_0635,"[[4, 4]]"
12a_0636,"[[-3, -3]]"
12a_0637,['No Dihedral Linking Number Exists']
12a_0643,"[[1/3, 0]]"
12a_0647,"[[2, 2], [2, 2], [2, 2], [3/2, 3/2]]"
12a_0648,"[[13/19, 13/19]]"
12a_0650,"[[1, 1]]"
12a_0654,"[[0, 0]]"
12a_0655,"[[0, 0]]"
12a_0665,"[[-4, -4]]"
12a_0666,['No Dihedral Linking Number Exists']
12a_0668,"[[10/7, 10/7]]"
12a_0670,"[[-2, -2]]"
12a_0672,"[[-1, -1]]"
12a_0679,"[[7, 7], [2, 2], [-1, -1], [1, 1]]"
12a_0683,"[[-2, -2], [0, 0], [4, 4], [-2, -2]]"
12a_0684,"[[0, 0]]"
12a_0685,"[[1, 1]]"
12a_0689,"[[2, 2]]"
12a_0692,"[[-3/5, -3/5], [-7/2, -3], [0, 0], [-1, -1]]"
12a_0693,"[[-2, 0]]"
12a_0694,"[[1, 2]]"
12a_0699,"[[0, 0]]"
12a_0701,"[[13/11, 13/11], [2, 2], [1/2, 1], [-15/13, -15/13]]"
12a_0702,"[[-2, 0]]"
12a_0703,"[[-16/7, -16/7]]"
12a_0705,"[[-6/11, -6/11]]"
12a_0706,"[[1, 1]]"
12a_0708,"[[4/3, 4/3]]"
12a_0711,"[[3, 3]]"
12a_0712,"[[2, 2], [1, 1], [-2/3, -2/3], [1, 1]]"
12a_0718,"[[-2, -2]]"
12a_0719,"[[0, 0]]"
12a_0721,"[[-1, -1]]"
12a_0723,"[[2, 2]]"
12a_0725,"[[1, 1], 'No Dihedral Linking Number Exists', [1, 1], [1, 1]]"
12a_0730,"[[4/5, 4/5]]"
12a_0731,"[[1, 1]]"
12a_0735,"[[1, 1]]"
12a_0736,"[[0, 0]]"
12a_0737,"[[2/3, 2/3]]"
12a_0739,"[[15/19, 15/19]]"
12a_0741,"[[9/17, 9/17]]"
12a_0742,"[[-1, -1], [-2, -2], [-3, -3], [22/15, 22/15]]"
12a_0750,"[[0, 0]]"
12a_0760,"[[0, 0]]"
12a_0762,"[[2, 2]]"
12a_0766,"[[-2/3, -2/3]]"
12a_0767,"[[0, 0]]"
12a_0768,['No Dihedral Linking Number Exists']
12a_0769,"[[-3, -3], [6, 6], [-4/3, -4/3], [-7/5, -7/5]]"
12a_0771,"[[-8/9, -8/9]]"
12a_0772,"[[-2/3, -2/3]]"
12a_0775,"[[2, 2]]"
12a_0777,"[[0, 0]]"
12a_0780,"[[1, 1]]"
12a_0785,"[[2, 2]]"
12a_0787,"[[-1, -1], [-5/7, -5/7], [3/5, 3/5], [2, 2]]"
12a_0791,"[[1, 1]]"
12a_0793,"[[0, 0]]"
12a_0796,"[[0, 0]]"
12a_0798,"[[6/11, 6/11]]"
12a_0800,"[[7, 7]]"
12a_0801,"[[0, 0], [4/3, 4/3], [5/9, 5/9], [0, 0]]"
12a_0803,"[[-7, -7]]"
12a_0804,"[[4, 4]]"
12a_0805,"[[-5/6, -5/6]]"
12a_0806,"[[-2, -2]]"
12a_0807,['No Dihedral Linking Number Exists']
12a_0808,"[[0, 0]]"
12a_0809,"[[0, 0]]"
12a_0810,"[[4/3, 4/3], [13/9, 13/9], [0, 0], [-4/3, -4/3]]"
12a_0812,"[[2, 2]]"
