Name,Dihedral Linking Numbers
11a_49,"[[[3, -4, 0], [-4, 1, -2], [0, -2, -1]], [[3, -4, 0], [-4, 1, -2], [0, -2, -1]]]"
11a_51,"[[[0, -4, 4], [-4, 4, 0], [4, 0, 0]], [[0, -4, 4], [-4, 4, 0], [4, 0, 0]]]"
11a_60,"[[[3, -4, 0], [-4, 1, -2], [0, -2, -1]], [[3, -4, 0], [-4, 1, -2], [0, -2, -1]]]"
11a_62,"[[[-3, 0, 4], [0, 2, 2], [4, 2, 0]], [[-3, 0, 4], [0, 2, 2], [4, 2, 0]]]"
11a_67,"[[[2, 0, 0], [0, 2, 0], [0, 0, 2]], [[2, 0, 0], [0, 2, 0], [0, 0, 2]]]"
11a_76,"[[[9, -10, 6], [-10, 8, -2], [6, -2, 0]], [[9, -10, 6], [-10, 8, -2], [6, -2, 0]]]"
11a_82,"[[[15, -10, 2], [-10, 10, -4], [2, -4, 4]], [[15, -10, 2], [-10, 10, -4], [2, -4, 4]]]"
11a_99,"[[[321/31, -242/31, 66/31], [-242/31, 209/31, -88/31], [66/31, -88/31, 55/31]], [[321/31, 66/31, -242/31], [66/31, 55/31, -88/31], [-242/31, -88/31, 209/31]]]"
11a_104,"[[[-46/3, 10, -10/3], [10, -25/3, 10/3], [-10/3, 10/3, -5/3]], [[-46/3, -10/3, 10], [-10/3, -5/3, 10/3], [10, 10/3, -25/3]]]"
11a_112,"[[[-40/11, 50/11, -30/11], [50/11, -24/11, 10/11], [-30/11, 10/11, 16/11]], [[-40/11, -30/11, 50/11], [-30/11, 16/11, 10/11], [50/11, 10/11, -24/11]]]"
11a_124,"[[[48, -38, 10], [-38, 28, -14], [10, -14, 4]], [[48, -38, 10], [-38, 28, -14], [10, -14, 4]]]"
11a_125,"[[[22, -10, -2], [-10, 10, -6], [-2, -6, 6]], [[22, -10, -2], [-10, 10, -6], [-2, -6, 6]]]"
11a_126,"[[[-44, 34, -14], [34, -27, 10], [-14, 10, -3]], [[-44, 34, -14], [34, -27, 10], [-14, 10, -3]]]"
11a_132,"[[[-1, -2, 2], [-2, 0, 0], [2, 0, -2]], [[-1, -2, 2], [-2, 0, 0], [2, 0, -2]]]"
11a_140,"[[[13, -6, -2], [-6, 6, -4], [-2, -4, 4]], [[13, -6, -2], [-6, 6, -4], [-2, -4, 4]]]"
11a_148,"[[[-9/31, 70/31, -174/31], [70/31, -76/31, -52/31], [-174/31, -52/31, 46/31]], [[-9/31, -174/31, 70/31], [-174/31, 46/31, -52/31], [70/31, -52/31, -76/31]]]"
11a_150,"[[[-1, -2, 6], [-2, 3, 2], [6, 2, -1]], [[-1, -2, 6], [-2, 3, 2], [6, 2, -1]]]"
11a_157,"[[[1, -2, 2], [-2, 3, 0], [2, 0, 1]], [[1, -2, 2], [-2, 3, 0], [2, 0, 1]]]"
11a_160,"[[[417, -338, 130], [-338, 273, -104], [130, -104, 39]], [[417, 130, -338], [130, 39, -104], [-338, -104, 273]]]"
11a_168,"[[[158, -130, 50], [-130, 105, -40], [50, -40, 15]], [[158, 50, -130], [50, 15, -40], [-130, -40, 105]]]"
11a_170,"[[[427/19, -362/19, 158/19], [-362/19, 283/19, -102/19], [158/19, -102/19, 23/19]], [[427/19, 158/19, -362/19], [158/19, 23/19, -102/19], [-362/19, -102/19, 283/19]]]"
11a_173,"[[[-19, 18, -10], [18, -14, 4], [-10, 4, 0]], [[-19, 18, -10], [18, -14, 4], [-10, 4, 0]]]"
11a_175,"[[[36, -26, 6], [-26, 23, -10], [6, -10, 7]], [[36, -26, 6], [-26, 23, -10], [6, -10, 7]]]"
11a_183,"[[[-2, -2, 6], [-2, 2, 2], [6, 2, -2]], [[-2, -2, 6], [-2, 2, 2], [6, 2, -2]]]"
11a_186,"[[[-32, 22, -10], [22, -22, 6], [-10, 6, -6]], [[-32, 22, -10], [22, -22, 6], [-10, 6, -6]]]"
11a_190,"[[[27, -22, 6], [-22, 18, -8], [6, -8, 4]], [[27, -22, 6], [-22, 18, -8], [6, -8, 4]]]"
11a_193,"[[[-2, 2, 2], [2, 0, 2], [2, 2, 0]], [[-2, 2, 2], [2, 0, 2], [2, 2, 0]]]"
11a_198,"[[[44/3, -10, 2/3], [-10, 29/3, -14/3], [2/3, -14/3, 13/3]], [[44/3, -10, 2/3], [-10, 29/3, -14/3], [2/3, -14/3, 13/3]]]"
11a_200,"[[[-32/3, 6, -14/3], [6, -26/3, 2/3], [-14/3, 2/3, -10/3]], [[-32/3, 6, -14/3], [6, -26/3, 2/3], [-14/3, 2/3, -10/3]]]"
11a_207,"[[[-2, -2, 6], [-2, 3, 2], [6, 2, -1]], [[-2, -2, 6], [-2, 3, 2], [6, 2, -1]]]"
11a_208,"[[[-2, 2, 2], [2, 1, 2], [2, 2, 1]], [[-2, 2, 2], [2, 1, 2], [2, 2, 1]]]"
11a_213,"[[[-6, 2, -2], [2, -4, 0], [-2, 0, -2]], [[-6, 2, -2], [2, -4, 0], [-2, 0, -2]]]"
11a_220,"[[[-7, 6, -6], [6, -6, 0], [-6, 0, 0]], [[-7, 6, -6], [6, -6, 0], [-6, 0, 0]]]"
11a_223,"[[[25, -18, 2], [-18, 14, -8], [2, -8, 4]], [[25, -18, 2], [-18, 14, -8], [2, -8, 4]]]"
11a_238,"[[[-25, 14, -6], [14, -16, 4], [-6, 4, -6]], [[-25, 14, -6], [14, -16, 4], [-6, 4, -6]]]"
11a_239,"[[[0, -4, 4], [-4, 1, 0], [4, 0, -3]], [[0, 4, -4], [4, -3, 0], [-4, 0, 1]]]"
11a_241,"[[[5, -2, -6], [-2, 0, -4], [-6, -4, 2]], [[5, -2, -6], [-2, 0, -4], [-6, -4, 2]]]"
11a_245,"[[[5, -6, -2], [-6, 2, -4], [-2, -4, 0]], [[5, -6, -2], [-6, 2, -4], [-2, -4, 0]]]"
11a_250,"[[[6, 2, -6], [2, 0, -2], [-6, -2, 4]], [[6, 2, -6], [2, 0, -2], [-6, -2, 4]]]"
11a_258,"[[[-6, -2, 6], [-2, 0, 2], [6, 2, -4]], [[-6, -2, 6], [-2, 0, 2], [6, 2, -4]]]"
11a_264,"[[[-20, -10, 18], [-10, 0, 4], [18, 4, -14]], [[-20, -10, 18], [-10, 0, 4], [18, 4, -14]]]"
11a_274,"[[[-16/3, -10/3, 6], [-10/3, 4/3, 4/3], [6, 4/3, -10/3]], [[-16/3, -10/3, 6], [-10/3, 4/3, 4/3], [6, 4/3, -10/3]]]"
11a_277,"[[[49/11, 2/11, -54/11], [2/11, 14/11, -26/11], [-54/11, -26/11, 42/11]], [[49/11, 2/11, -54/11], [2/11, 14/11, -26/11], [-54/11, -26/11, 42/11]]]"
11a_280,"[[[-51/11, -30/11, 50/11], [-30/11, 16/11, 10/11], [50/11, 10/11, -24/11]], [[-51/11, -30/11, 50/11], [-30/11, 16/11, 10/11], [50/11, 10/11, -24/11]]]"
11a_281,"[[[228/31, -118/31, -58/31], [-118/31, 147/31, -88/31], [-58/31, -88/31, 117/31]], [[228/31, -118/31, -58/31], [-118/31, 147/31, -88/31], [-58/31, -88/31, 117/31]]]"
11a_288,"[[[44/29, 110/29, -190/29], [110/29, -15/29, -40/29], [-190/29, -40/29, 135/29]], [[44/29, 110/29, -190/29], [110/29, -15/29, -40/29], [-190/29, -40/29, 135/29]]]"
11a_289,"[[[29/11, -6/11, -14/11], [-6/11, 13/11, -10/11], [-14/11, -10/11, 17/11]], [[29/11, -6/11, -14/11], [-6/11, 13/11, -10/11], [-14/11, -10/11, 17/11]]]"
11a_297,"[[[37/11, -38/11, 58/11], [-38/11, 31/11, 10/11], [58/11, 10/11, -17/11]], [[37/11, 58/11, -38/11], [58/11, -17/11, 10/11], [-38/11, 10/11, 31/11]], [[3, -6, 6], [-6, 5, 0], [6, 0, -1]], [[1, -2, 2], [-2, 3, 0], [2, 0, 1]], [[1, -2, 2], [-2, 3, 0], [2, 0, 1]], [[3, -6, 6], [-6, 5, 0], [6, 0, -1]], [[0, -4, 4], [-4, 4, 0], [4, 0, 0]], [[3, -6, 6], [-6, 5, 0], [6, 0, -1]], [[3, -6, 6], [-6, 5, 0], [6, 0, -1]], [[1, -2, 2], [-2, 3, 0], [2, 0, 1]], [[0, -4, 4], [-4, 4, 0], [4, 0, 0]], [[1, -2, 2], [-2, 3, 0], [2, 0, 1]]]"
11a_305,"[[[-164/29, 54/29, 86/29], [54/29, -68/29, 70/29], [86/29, 70/29, -84/29]], [[-164/29, 86/29, 54/29], [86/29, -84/29, 70/29], [54/29, 70/29, -68/29]]]"
11a_306,"[[[-3, -2, 6], [-2, 2, 2], [6, 2, -2]], [[-3, -2, 6], [-2, 2, 2], [6, 2, -2]]]"
11a_317,"[[[13/5, -22/5, 18/5], [-22/5, 23/5, -2/5], [18/5, -2/5, 3/5]], [[13/5, -22/5, 18/5], [-22/5, 23/5, -2/5], [18/5, -2/5, 3/5]], [[13/5, -22/5, 18/5], [-22/5, 23/5, -2/5], [18/5, -2/5, 3/5]], [[18/5, -2/5, -2/5], [-2/5, 13/5, -2/5], [-2/5, -2/5, 13/5]], [[43/5, -42/5, 38/5], [-42/5, 33/5, -2/5], [38/5, -2/5, -7/5]], [[18/5, -2/5, -2/5], [-2/5, 13/5, -2/5], [-2/5, -2/5, 13/5]], [[18/5, -2/5, -2/5], [-2/5, 13/5, -2/5], [-2/5, -2/5, 13/5]], [[13/5, -22/5, 18/5], [-22/5, 23/5, -2/5], [18/5, -2/5, 3/5]], [[18/5, -2/5, -2/5], [-2/5, 13/5, -2/5], [-2/5, -2/5, 13/5]], [[18/5, -2/5, -2/5], [-2/5, 13/5, -2/5], [-2/5, -2/5, 13/5]], [[18/5, -2/5, -2/5], [-2/5, 13/5, -2/5], [-2/5, -2/5, 13/5]], [[43/5, 38/5, -42/5], [38/5, -7/5, -2/5], [-42/5, -2/5, 33/5]]]"
11a_318,"[[[8, -10, 2], [-10, 4, -4], [2, -4, -2]], [[8, -10, 2], [-10, 4, -4], [2, -4, -2]]]"
11a_325,"[[[-27/11, 10/11, 42/11], [10/11, -9/11, 26/11], [42/11, 26/11, -25/11]], [[-27/11, 42/11, 10/11], [42/11, -25/11, 26/11], [10/11, 26/11, -9/11]]]"
11a_329,"[[[-104/31, -6/31, -66/31], [-6/31, -116/31, -36/31], [-66/31, -36/31, -86/31]], [[-104/31, -6/31, -66/31], [-6/31, -116/31, -36/31], [-66/31, -36/31, -86/31]]]"
11a_331,"[[[-49/11, -2/11, 54/11], [-2/11, -3/11, 26/11], [54/11, 26/11, -31/11]], [[-49/11, 54/11, -2/11], [54/11, -31/11, 26/11], [-2/11, 26/11, -3/11]]]"
11a_333,"[[[-18, 18, -6], [18, -12, 6], [-6, 6, 0]], [[-18, 18, -6], [18, -12, 6], [-6, 6, 0]]]"
11a_335,"[[[5, -2, -6], [-2, 0, -4], [-6, -4, 2]], [[5, -2, -6], [-2, 0, -4], [-6, -4, 2]]]"
11a_339,"[[[5, -6, -2], [-6, 2, -4], [-2, -4, 0]], [[5, -6, -2], [-6, 2, -4], [-2, -4, 0]]]"
