Name,Color List
11a_58,"[[2, 3, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2]]"
11a_63,"[[2, 1, 3, 1, 2, 3, 3, 2, 2, 3, 1, 2]]"
11a_69,"[[2, 1, 3, 3, 2, 3, 1, 1, 3, 2, 1, 2]]"
11a_71,"[[2, 1, 3, 1, 3, 2, 2, 2, 3, 2, 1, 2]]"
11a_72,"[[2, 3, 1, 3, 1, 2, 2, 2, 3, 2, 1, 2]]"
11a_73,"[[2, 2, 2, 2, 3, 2, 2, 1, 1, 3, 1, 2]]"
11a_78,"[[2, 1, 3, 3, 2, 2, 3, 1, 2, 2, 2, 2]]"
11a_90,"[[2, 3, 1, 1, 3, 2, 1, 3, 2, 1, 1, 2]]"
11a_91,"[[2, 3, 1, 1, 3, 2, 1, 3, 2, 1, 1, 2]]"
11a_93,"[[2, 1, 3, 3, 2, 2, 3, 2, 1, 3, 1, 2]]"
11a_99,"[[2, 1, 3, 3, 1, 2, 3, 2, 3, 1, 2, 2]]"
11a_100,"[[2, 2, 2, 2, 3, 2, 2, 2, 1, 3, 1, 2]]"
11a_102,"[[2, 3, 1, 3, 2, 2, 1, 2, 2, 2, 2, 2]]"
11a_103,"[[2, 3, 1, 3, 2, 2, 1, 2, 2, 2, 2, 2]]"
11a_106,"[[2, 1, 3, 3, 3, 2, 3, 3, 3, 3, 1, 2]]"
11a_107,"[[2, 1, 3, 3, 3, 2, 3, 3, 3, 3, 1, 2]]"
11a_108,"[[2, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2]]"
11a_109,"[[2, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2]]"
11a_117,"[[2, 1, 3, 2, 3, 2, 2, 1, 3, 1, 2, 2]]"
11a_118,"[[2, 1, 3, 1, 1, 2, 3, 2, 3, 1, 1, 2]]"
11a_123,"[[3, 3, 3, 1, 3, 3, 3, 2, 1, 1, 2, 3], [2, 1, 3, 2, 3, 2, 1, 1, 3, 1, 1, 2], [1, 3, 2, 2, 2, 1, 3, 2, 3, 1, 2, 1], [1, 3, 2, 3, 2, 1, 3, 1, 1, 2, 1, 1]]"
11a_128,"[[2, 1, 3, 2, 2, 2, 3, 1, 2, 2, 2, 2]]"
11a_130,"[[2, 3, 1, 3, 2, 2, 1, 2, 2, 3, 1, 2]]"
11a_132,"[[2, 2, 2, 1, 3, 2, 2, 2, 3, 1, 2, 2]]"
11a_134,"[[2, 1, 3, 3, 3, 2, 3, 3, 3, 3, 1, 2]]"
11a_135,"[[3, 3, 3, 1, 3, 3, 3, 2, 2, 1, 2, 3], [2, 1, 3, 3, 1, 2, 3, 2, 3, 1, 1, 2], [1, 3, 2, 3, 3, 1, 2, 3, 1, 1, 2, 1], [1, 3, 2, 1, 3, 1, 2, 2, 3, 2, 1, 1]]"
11a_137,"[[2, 3, 1, 2, 3, 2, 1, 1, 3, 1, 1, 2]]"
11a_139,"[[2, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2]]"
11a_146,"[[2, 3, 1, 2, 3, 2, 1, 1, 3, 1, 1, 2]]"
11a_152,"[[2, 3, 1, 3, 2, 2, 1, 2, 2, 3, 1, 2]]"
11a_155,"[[3, 2, 1, 1, 1, 3, 1, 3, 2, 1, 2, 3], [2, 2, 2, 3, 2, 2, 1, 1, 3, 1, 1, 2], [1, 3, 2, 3, 2, 1, 1, 3, 1, 1, 2, 1], [1, 2, 3, 1, 3, 1, 2, 3, 3, 2, 1, 1]]"
11a_157,"[[2, 2, 2, 3, 1, 2, 2, 2, 3, 1, 2, 2]]"
11a_159,"[[2, 1, 3, 2, 3, 2, 2, 1, 3, 1, 2, 2]]"
11a_161,"[[2, 3, 1, 1, 3, 2, 1, 2, 3, 1, 1, 2]]"
11a_165,"[[2, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2]]"
11a_171,"[[2, 2, 2, 3, 2, 2, 2, 1, 3, 1, 1, 2]]"
11a_173,"[[3, 3, 3, 1, 3, 3, 3, 2, 1, 1, 2, 3], [2, 1, 3, 2, 3, 2, 1, 1, 3, 1, 1, 2], [1, 3, 2, 2, 2, 1, 3, 2, 3, 1, 2, 1], [1, 3, 2, 3, 2, 1, 3, 1, 1, 2, 1, 1]]"
11a_175,"[[2, 1, 3, 1, 2, 3, 2, 2, 3, 1, 2, 2]]"
11a_176,"[[2, 1, 3, 1, 2, 3, 2, 2, 3, 1, 1, 2]]"
11a_178,"[[2, 3, 1, 3, 3, 1, 2, 2, 3, 2, 1, 2]]"
11a_179,"[[2, 1, 3, 3, 3, 3, 2, 3, 3, 3, 1, 2]]"
11a_181,"[[3, 2, 1, 1, 1, 1, 3, 1, 1, 1, 2, 3], [2, 2, 2, 2, 3, 3, 2, 2, 1, 3, 1, 2], [1, 3, 2, 2, 3, 3, 1, 2, 1, 3, 2, 1], [1, 2, 3, 3, 1, 1, 1, 3, 2, 1, 1, 1]]"
11a_184,"[[2, 1, 3, 3, 1, 2, 2, 3, 2, 3, 1, 2]]"
11a_187,"[[2, 2, 2, 2, 3, 2, 2, 2, 1, 3, 1, 2]]"
11a_194,"[[2, 2, 2, 2, 3, 1, 2, 2, 2, 3, 1, 2]]"
11a_196,"[[2, 1, 3, 3, 1, 3, 2, 3, 2, 1, 2, 2]]"
11a_199,"[[2, 3, 1, 3, 2, 2, 2, 1, 2, 2, 2, 2]]"
11a_201,"[[2, 3, 1, 3, 2, 2, 2, 1, 2, 2, 2, 2]]"
11a_202,"[[2, 1, 3, 3, 3, 3, 2, 3, 3, 3, 1, 2]]"
11a_203,"[[2, 3, 1, 2, 3, 1, 2, 2, 3, 1, 2, 2]]"
11a_208,"[[2, 1, 3, 2, 3, 1, 2, 3, 1, 1, 2, 2]]"
11a_209,"[[2, 3, 1, 2, 2, 3, 2, 1, 3, 1, 2, 2]]"
11a_212,"[[2, 1, 3, 3, 1, 3, 2, 3, 3, 2, 1, 2]]"
11a_214,"[[2, 1, 3, 2, 2, 2, 2, 3, 1, 2, 2, 2]]"
11a_216,"[[2, 3, 1, 3, 1, 1, 2, 2, 3, 2, 1, 2]]"
11a_219,"[[2, 2, 2, 1, 3, 2, 2, 2, 2, 3, 1, 2]]"
11a_223,"[[2, 2, 2, 3, 1, 2, 2, 2, 3, 1, 2, 2]]"
