Name,Dihedral Linking Numbers
12a_0796,"[[['x', 'x'], ['x', 'x']]]"
12a_0798,"[[['x', 'x'], ['x', 'x']]]"
12a_0800,"[[['x', 'x'], ['x', 'x']]]"
12a_0801,"[[['x', 'x'], ['x', 'x']]]"
12a_0803,"[[['x', 'x'], ['x', 'x']]]"
12a_0804,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
12a_0805,[]
12a_0806,[]
12a_0807,[]
12a_0808,[]
12a_0809,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [[0, 2], [2, 2]]]"
12a_0810,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [[0, 2], [2, 2]]]"
12a_0812,"[[['x', 'x'], ['x', 'x']]]"
12a_0814,[]
12a_0818,"[[['x', 'x'], ['x', 'x']]]"
12a_0823,"[[['x', 'x'], ['x', 'x']]]"
12a_0827,[]
12a_0828,[]
12a_0841,"[[['x', 'x'], ['x', 'x']]]"
12a_0845,[]
12a_0847,[]
12a_0852,"[[['x', 'x'], ['x', 'x']]]"
12a_0853,"[[['x', 'x'], ['x', 'x']]]"
12a_0855,"[[['x', 'x'], ['x', 'x']]]"
12a_0858,"[[['x', 'x'], ['x', 'x']]]"
12a_0861,[]
12a_0862,[]
12a_0864,[]
12a_0873,"[[['x', 'x'], ['x', 'x']]]"
12a_0876,[]
12a_0878,[]
12a_0882,[]
12a_0886,"[[[0, 0], [0, -2]]]"
12a_0888,"[[['x', 'x'], ['x', 'x']]]"
12a_0893,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
12a_0894,"[[['x', 'x'], ['x', 'x']]]"
12a_0895,"[[['x', 'x'], ['x', 'x']]]"
12a_0902,[]
12a_0903,"[[['x', 'x'], ['x', 'x']]]"
12a_0904,[]
12a_0905,[]
12a_0907,"[[['x', 'x'], ['x', 'x']]]"
12a_0909,[]
12a_0912,[]
12a_0913,[]
12a_0914,[]
12a_0916,[]
12a_0919,[]
12a_0923,"[[['x', 'x'], ['x', 'x']]]"
12a_0924,"[[['x', 'x'], ['x', 'x']]]"
12a_0927,"[[['x', 'x'], ['x', 'x']]]"
12a_0928,[]
12a_0930,"[[['x', 'x'], ['x', 'x']]]"
12a_0931,"[[['x', 'x'], ['x', 'x']]]"
12a_0936,"[[['x', 'x'], ['x', 'x']]]"
