Name,Sign List
12a_0513,"[1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1]"
12a_0516,"[1, 1, 1, -1, 1, 1, -1, 1, -1, 1, 1, -1]"
12a_0517,"[-1, 1, 1, -1, 1, -1, 1, 1, -1, 1, 1, 1]"
12a_0532,"[1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1, 1]"
12a_0535,"[1, 1, -1, -1, -1, 1, -1, 1, -1, -1, 1, -1]"
12a_0539,"[-1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1]"
12a_0540,"[-1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1]"
12a_0553,"[1, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1, -1]"
12a_0556,"[1, 1, 1, -1, 1, 1, 1, 1, 1, -1, 1, 1]"
12a_0561,"[1, 1, 1, -1, 1, 1, -1, 1, 1, 1, 1, -1]"
12a_0564,"[-1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1]"
12a_0566,"[-1, 1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1]"
12a_0570,"[-1, 1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1]"
12a_0572,"[1, 1, 1, -1, 1, 1, -1, 1, 1, -1, -1, 1]"
12a_0587,"[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1]"
12a_0588,"[1, 1, -1, -1, 1, 1, 1, 1, -1, 1, -1, 1]"
12a_0589,"[1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1]"
12a_0603,"[1, 1, -1, -1, 1, 1, -1, 1, 1, -1, -1, 1]"
12a_0605,"[1, 1, -1, -1, 1, 1, -1, 1, -1, -1, -1, 1]"
12a_0612,"[1, 1, -1, -1, 1, 1, 1, 1, 1, -1, -1, 1]"
12a_0613,"[1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1]"
12a_0614,"[1, 1, -1, 1, -1, 1, 1, -1, 1, -1, 1, 1]"
12a_0616,"[1, 1, 1, 1, 1, 1, -1, 1, -1, 1, -1, 1]"
12a_0619,"[-1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1]"
12a_0621,"[1, 1, -1, 1, -1, 1, 1, -1, -1, -1, -1, -1]"
12a_0628,"[1, 1, -1, 1, 1, 1, 1, -1, 1, 1, -1, 1]"
12a_0631,"[1, 1, -1, -1, 1, 1, -1, -1, 1, -1, -1, 1]"
12a_0634,"[1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1]"
12a_0640,"[1, 1, -1, 1, 1, 1, 1, -1, 1, -1, -1, 1]"
12a_0642,"[1, 1, -1, -1, 1, 1, 1, -1, -1, -1, -1, -1]"
12a_0650,"[1, 1, -1, -1, 1, 1, -1, 1, -1, -1, -1, -1]"
12a_0652,"[-1, 1, 1, 1, 1, -1, 1, -1, 1, 1, 1, -1]"
12a_0653,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
12a_0654,"[1, 1, -1, 1, 1, 1, 1, 1, 1, 1, -1, 1]"
12a_0656,"[1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1]"
