Name,Sign List
11a_306,"[-1, -1, 1, -1, -1, 1, -1, -1, -1, -1, 1, 1]"
11a_309,"[1, -1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1]"
11a_314,"[1, -1, 1, 1, -1, 1, -1, 1, -1, 1, 1, 1]"
11a_318,"[1, -1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1]"
11a_324,"[-1, -1, -1, -1, 1, -1, -1, -1, 1, -1, 1, -1, -1, 1, 1, 1]"
11a_332,"[-1, 1, -1, 1, -1, 1, 1, -1, 1, -1, 1, 1]"
11a_335,"[1, 1, 1, 1, -1, 1, 1, 1, 1, -1, 1, 1, 1, 1]"
11a_338,"[1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1]"
11a_340,"[1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11a_344,"[1, 1, -1, 1, -1, -1, 1, 1, 1, -1, 1, 1, 1, 1]"
11a_346,"[-1, 1, -1, 1, -1, 1, 1, 1, 1, -1, 1, 1]"
11a_347,"[1, -1, -1, 1, -1, 1, 1, -1, -1, 1, -1, 1, 1, 1]"
11a_351,"[-1, 1, -1, 1, -1, 1, 1, -1, -1, 1, 1, 1]"
11a_352,"[-1, 1, -1, 1, 1, -1, -1, 1, 1, 1, -1, -1, 1, 1]"
11a_353,"[1, -1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1]"
11a_354,"[1, 1, 1, -1, 1, -1, 1, 1, 1, 1, 1, -1, -1, 1, 1, 1]"
11a_355,"[1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1]"
11a_360,"[1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1, 1]"
11a_361,"[1, 1, -1, 1, -1, 1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1]"
11a_362,"[1, -1, 1, -1, 1, -1, -1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1]"
11a_365,"[1, -1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]"
11a_366,"[1, -1, 1, 1, -1, 1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1]"
11n_1,"[-1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 1, 1]"
