Name,Color List
11a_99,"[[1, 3, 3, 1, 2, 3, 2, 3, 1, 2, 2, 1]]"
11a_100,"[[3, 1, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2]]"
11a_102,"[[3, 2, 1, 1, 1, 3, 3, 1, 1, 3, 2, 1, 1, 2]]"
11a_103,"[[1, 2, 3, 2, 2, 2, 3, 3, 1, 3, 1, 2, 2, 2, 2, 1]]"
11a_106,"[[3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 3]]"
11a_107,"[[2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 3, 1, 2]]"
11a_108,"[[3, 1, 1, 1, 1, 2, 3, 1, 1, 1, 2, 3]]"
11a_109,"[[2, 2, 2, 3, 1, 2, 2, 2, 3, 1, 2, 2]]"
11a_117,"[[3, 1, 2, 2, 3, 1, 2, 3, 3, 3, 1, 2]]"
11a_118,"[[3, 1, 1, 3, 3, 2, 1, 2, 3, 3, 1, 2]]"
11a_123,"[[3, 3, 3, 1, 1, 1, 3, 3, 3, 3, 2, 2, 1, 1, 2, 3], [1, 3, 2, 3, 1, 2, 3, 2, 1, 1, 2, 3, 3, 1, 1, 2], [3, 2, 1, 3, 1, 2, 2, 1, 3, 3, 3, 1, 3, 1, 2, 1], [3, 2, 1, 1, 2, 3, 2, 1, 3, 3, 2, 3, 1, 2, 1, 1]]"
11a_128,"[[3, 1, 3, 3, 1, 2, 2, 2, 2, 1, 2, 2, 2, 3]]"
11a_130,"[[3, 1, 2, 2, 3, 1, 3, 2, 3, 1, 2, 2]]"
11a_132,"[[3, 3, 1, 3, 3, 3, 2, 1, 2, 2, 2, 1, 2, 2]]"
11a_134,"[[3, 1, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2]]"
11a_135,"[[3, 2, 3, 1, 1, 2, 2, 1, 3, 1, 2, 3], [1, 3, 3, 2, 3, 1, 1, 3, 2, 1, 1, 2], [3, 1, 2, 2, 3, 2, 2, 3, 1, 1, 2, 1], [3, 3, 2, 3, 1, 1, 1, 1, 1, 2, 1, 1]]"
11a_137,"[[3, 3, 1, 3, 1, 2, 1, 2, 3, 3, 2, 2, 1, 2]]"
11a_139,"[[2, 2, 2, 3, 1, 2, 2, 2, 3, 1, 2, 2]]"
11a_146,"[[3, 2, 1, 3, 2, 1, 1, 3, 1, 1, 2, 3]]"
11a_152,"[[1, 3, 3, 1, 2, 1, 3, 2, 3, 3, 1, 2]]"
