Name,Color List
11a_135,"[[3, 2, 2, 1, 2, 3, 3, 2, 1, 3, 3, 1], [2, 3, 1, 1, 2, 1, 1, 2, 3, 3, 1, 3], [2, 2, 3, 2, 1, 1, 1, 1, 1, 3, 1, 1], [2, 1, 2, 3, 3, 1, 1, 3, 2, 3, 1, 2]]"
11a_137,"[[2, 2, 3, 2, 3, 1, 3, 1, 2, 2, 1, 1, 3, 1]]"
11a_139,"[[1, 1, 1, 2, 3, 1, 1, 1, 2, 3, 1, 1]]"
11a_146,"[[2, 1, 3, 2, 1, 3, 3, 2, 3, 3, 1, 2]]"
11a_152,"[[3, 2, 2, 3, 1, 3, 2, 1, 2, 2, 3, 1]]"
11a_155,"[[3, 2, 3, 2, 1, 2, 1, 3, 3, 1, 3, 2, 3, 1], [3, 3, 3, 2, 3, 2, 1, 2, 1, 3, 3, 2, 1, 3], [3, 2, 3, 1, 1, 1, 2, 2, 1, 1, 3, 1, 1, 1], [3, 1, 3, 3, 2, 3, 3, 2, 1, 2, 3, 3, 1, 2]]"
11a_157,"[[2, 1, 1, 3, 3, 3, 2, 3, 3, 1, 1, 2]]"
11a_159,"[[3, 2, 2, 1, 3, 2, 1, 1, 2, 3, 1, 3]]"
11a_161,"[[1, 2, 3, 2, 1, 3, 2, 1, 1, 2, 3, 1]]"
11a_165,"[[2, 3, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1]]"
11a_171,"[[1, 1, 2, 1, 1, 1, 3, 2, 3, 3, 1, 1]]"
11a_173,"[[3, 3, 2, 1, 1, 2, 1, 2, 3, 3, 3, 3, 3, 1], [1, 2, 2, 1, 2, 3, 2, 2, 3, 2, 3, 1, 1, 3], [1, 2, 1, 2, 3, 2, 3, 1, 3, 2, 3, 1, 1, 1], [1, 2, 3, 3, 1, 1, 1, 3, 3, 2, 3, 1, 1, 2]]"
11a_175,"[[2, 3, 2, 1, 2, 3, 1, 1, 3, 3, 1, 2]]"
11a_176,"[[1, 3, 2, 1, 2, 3, 2, 1, 3, 3, 1, 1]]"
11a_178,"[[2, 3, 2, 2, 1, 3, 1, 1, 2, 2, 3, 1]]"
11a_179,"[[2, 3, 3, 3, 3, 2, 1, 3, 3, 3, 1, 2]]"
11a_181,"[[2, 1, 3, 3, 3, 2, 3, 3, 2, 1, 3, 3, 3, 1], [3, 3, 3, 3, 2, 1, 2, 1, 2, 3, 3, 3, 1, 3], [2, 1, 3, 3, 2, 3, 2, 1, 1, 1, 3, 3, 1, 1], [1, 2, 3, 3, 2, 2, 2, 1, 3, 2, 3, 3, 1, 2]]"
11a_184,"[[2, 3, 1, 3, 3, 2, 1, 2, 3, 3, 1, 2]]"
11a_187,"[[1, 1, 1, 2, 3, 1, 2, 3, 1, 1, 1, 1, 3, 1]]"
11a_194,"[[2, 3, 1, 1, 1, 1, 2, 3, 1, 1, 1, 2]]"
11a_196,"[[2, 1, 1, 1, 2, 3, 2, 3, 1, 3, 1, 2]]"
11a_199,"[[1, 1, 1, 1, 2, 3, 2, 3, 2, 1, 1, 1, 3, 1]]"
11a_201,"[[1, 2, 3, 2, 2, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1]]"
11a_202,"[[2, 2, 2, 2, 1, 3, 1, 3, 2, 2, 2, 2, 3, 1]]"
11a_203,"[[2, 3, 1, 1, 2, 3, 1, 2, 3, 3, 1, 2]]"
11a_208,"[[2, 1, 3, 2, 1, 3, 2, 1, 1, 2, 3, 1]]"
11a_209,"[[2, 2, 2, 3, 2, 2, 1, 3, 1, 3, 1, 2, 1, 3, 1, 2]]"
11a_212,"[[3, 2, 2, 2, 1, 2, 1, 3, 3, 2, 2, 2, 3, 1]]"
11a_214,"[[1, 1, 1, 3, 2, 1, 1, 1, 1, 2, 3, 2, 3, 1, 1, 1]]"
11a_216,"[[1, 3, 2, 1, 2, 1, 3, 2, 2, 3, 1, 1]]"
11a_219,"[[3, 2, 2, 1, 1, 1, 3, 2, 3, 2, 3, 1, 1, 1, 1, 3]]"
11a_223,"[[2, 3, 3, 3, 3, 1, 2, 3, 3, 3, 1, 2]]"
11a_230,"[[2, 1, 3, 3, 1, 2, 1, 3, 3, 2, 2, 3, 1, 2]]"
11a_231,"[[2, 3, 3, 3, 3, 3, 1, 2, 3, 3, 1, 2], [3, 3, 2, 1, 1, 3, 3, 2, 1, 1, 3, 3], [2, 3, 2, 1, 1, 3, 1, 1, 1, 1, 1, 2], [1, 3, 2, 1, 1, 3, 2, 3, 1, 1, 2, 1]]"
11a_232,"[[1, 1, 2, 3, 1, 1, 1, 2, 3, 1, 1, 1]]"
11a_236,"[[1, 3, 2, 3, 1, 2, 3, 2, 1, 2, 3, 3, 1, 1]]"
11a_237,"[[1, 1, 1, 1, 2, 3, 1, 2, 3, 1, 1, 1, 1, 1, 3, 1]]"
11a_239,"[[1, 1, 3, 3, 2, 1, 1, 2, 2, 3, 1, 1]]"
11a_243,"[[2, 3, 1, 2, 2, 1, 3, 1, 2, 2, 2, 2, 3, 1]]"
11a_244,"[[2, 2, 3, 1, 1, 2, 2, 2, 2, 3, 1, 1, 1, 2]]"
11a_245,"[[1, 2, 3, 2, 2, 3, 1, 3, 1, 2, 2, 3, 1, 1]]"
11a_248,"[[2, 2, 2, 3, 2, 2, 2, 1, 3, 1, 1, 2]]"
11a_249,"[[2, 3, 2, 1, 2, 2, 3, 1, 2, 3, 3, 1], [3, 3, 3, 2, 1, 2, 2, 3, 3, 3, 1, 3], [2, 3, 2, 3, 3, 1, 2, 1, 2, 3, 1, 1], [1, 3, 1, 1, 2, 3, 2, 2, 1, 3, 1, 2]]"
