Name,Dihedral Linking Numbers
11n_71,"[[[2, -4], [-4, 0]], [[0, 0], [0, -2]], [[0, 0], [0, -2]], [[1, -2], [-2, -1]]]"
11n_72,"[[[2, -4], [-4, -1]], [[3, -6], [-6, 0]], [[2, -4], [-4, -1]], [[2, -4], [-4, -1]]]"
11n_73,"[[[0, 0], [0, 0]], [[1, -2], [-2, 1]], [[0, 0], [0, 0]], [[2, -4], [-4, 2]]]"
11n_74,"[[[1, -2], [-2, 1]], [[0, 0], [0, 0]], [[0, 0], [0, 0]], [[2, -4], [-4, 2]]]"
11n_75,"[[[0, 0], [0, 3]], [[-1, 2], [2, 2]], [[-2, 4], [4, 1]], [[0, 0], [0, 3]]]"
11n_76,"[[[0, 0], [0, 3]], [[0, 0], [0, 3]], [[-2, 4], [4, 1]], [[-1, 2], [2, 2]]]"
11n_77,"[[[2, -4], [-4, -3]], [[3, -6], [-6, -2]], [[2, -4], [-4, -3]], [[2, -4], [-4, -3]]]"
11n_78,"[[[0, 0], [0, -2]], [[1, -2], [-2, -1]], [[0, 0], [0, -2]], [[2, -4], [-4, 0]]]"
11n_79,"[[[-3, 0], [0, -1]]]"
11n_80,"[[[-6, 4], [4, 0]]]"
11n_81,"[[[3, -6], [-6, 0]], [[2, -4], [-4, -1]], [[2, -4], [-4, -1]], [[2, -4], [-4, -1]]]"
11n_85,"[[[0, 0], [0, 0]]]"
11n_86,"[[[1, -2], [-2, 1]]]"
11n_87,"[[[-3, 4], [4, 1]]]"
11n_92,"[[[-10, 6], [6, -2]]]"
11n_94,"[[[-1, 2], [2, -1]]]"
11n_95,"[[[2/5, -6/5], [-6/5, -12/5]]]"
11n_97,"[[[4/5, -2/5], [-2/5, 1/5]]]"
11n_98,"[[[-34/5, 22/5], [22/5, -6/5]]]"
11n_99,"[[[19/5, -2/5], [-2/5, 16/5]]]"
11n_100,"[[[-20/7, 10/7], [10/7, -12/7]]]"
11n_101,"[[[-15/7, 18/7], [18/7, -2/7]]]"
11n_102,"[[[-6/7, 10/7], [10/7, 9/7]]]"
11n_104,"[[[2, -4], [-4, -1]]]"
11n_105,"[[[2, -4], [-4, -1]]]"
11n_106,"[[[0, 0], [0, 1]]]"
11n_107,"[[[2, -4], [-4, 0]]]"
11n_109,"[[[2, 2], [2, 3]]]"
11n_118,"[[[-1, -2], [-2, -2]]]"
11n_119,"[[[-5, 5], [5, -3/2]]]"
11n_121,"[[[[-9, 8], [8, -1]]], [[[-15, 8], [8, -1]]]]"
11n_122,"[[[12/7, -6/7], [-6/7, 24/7]]]"
11n_123,"[[[-42, 22], [22, -10]]]"
11n_125,"[[[-13, 6], [6, -4]]]"
11n_126,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [[20/3, -22/3], [-22/3, -1/3]]]"
11n_136,"[[[3, -6], [-6, -1]]]"
11n_137,"[[[-30/7, 22/7], [22/7, 10/7]]]"
11n_138,"[[[9/7, 6/7], [6/7, 4/7]]]"
11n_139,"[[[-4/5, 2/5], [2/5, -11/5]]]"
11n_140,"[[[-26/5, 18/5], [18/5, 1/5]]]"
11n_141,"[[[6/5, 2/5], [2/5, 4/5]]]"
11n_142,"[[[-19, 12], [12, -5]]]"
11n_143,"[[[12/5, -6/5], [-6/5, 3/5]]]"
11n_145,"[[[-4, 2], [2, -1]]]"
11n_146,"[[[-3, 1], [1, -5/2]]]"
11n_148,"[[[-10/7, -2/7], [-2/7, -6/7]]]"
11n_149,"[[[-19/5, 2/5], [2/5, -11/5]]]"
11n_150,"[[[-1/7, -10/7], [-10/7, -9/7]]]"
11n_153,"[[[-2/7, -6/7], [-6/7, 3/7]]]"
11n_155,"[[[-6/5, -2/5], [-2/5, -4/5]]]"
11n_158,"[[[-19/7, 6/7], [6/7, -17/7]]]"
11n_161,"[[[-9/5, 2/5], [2/5, -11/5]]]"
11n_164,"[[[4, -6], [-6, 1]], [[3, -4], [-4, 0]], [[12, -6], [-6, 1]], [[2, -2], [-2, -1]]]"
11n_167,"[[[13/3, -14/3], [-14/3, 4/3]], [['x', 'x'], ['x', 'x']], [[14/3, -10/3], [-10/3, 2/3]], [['x', 'x'], ['x', 'x']]]"
11n_168,"[[[22/7, -18/7], [-18/7, 2/7]]]"
11n_170,"[[[17, -8], [-8, 6]]]"
11n_173,"[[[-2, 1], [1, -5/2]]]"
11n_176,"[[[12/7, -6/7], [-6/7, 24/7]]]"
11n_181,"[[[1, -4], [-4, -2]]]"
11n_182,"[[[2/7, 6/7], [6/7, 4/7]]]"
11n_183,"[[[2, -4], [-4, -2]]]"
11n_184,"[[[2, -4], [-4, 0]]]"
11n_185,"[[[2, -4], [-4, -1]]]"
12a_0001,"[[[-11, 8], [8, -3]]]"
12a_0002,"[[[-9, 4], [4, -2]]]"
12a_0010,"[[[-9, 4], [4, -3]]]"
12a_0011,"[[[-11, 8], [8, -1]]]"
12a_0016,"[[[11, -6], [-6, 3]]]"
12a_0023,"[[[-95/11, 42/11], [42/11, -10/11]]]"
12a_0029,"[[[-3, 4], [4, 0]]]"
12a_0030,"[[[0, 0], [0, 1]]]"
12a_0033,"[[[0, 0], [0, 1]]]"
12a_0035,"[[[-13, 6], [6, -6]]]"
12a_0036,"[[[2, -4], [-4, -2]]]"
12a_0048,"[[[-9, 4], [4, -2]]]"
12a_0049,"[[[103, -50], [-50, 27]]]"
12a_0051,"[[[8, -4], [-4, 3]]]"
12a_0057,"[[[6, -4], [-4, 3]]]"
12a_0060,"[[[-9, 4], [4, -2]]]"
12a_0062,"[[[-4, 0], [0, 0]]]"
12a_0066,"[[[106, -54], [-54, 26]]]"
12a_0067,"[[[-11, 8], [8, -3]]]"
12a_0071,"[[[-6, 2], [2, -2]]]"
12a_0074,"[[[-8, 6], [6, -1]]]"
12a_0077,"[[[-9, 4], [4, -2]]]"
12a_0079,"[[[94/7, -54/7], [-54/7, 20/7]]]"
12a_0081,"[[[5, -4], [-4, 1]]]"
12a_0086,"[[[7, -4], [-4, 4]]]"
12a_0088,"[[[-94/19, 66/19], [66/19, -71/19]]]"
12a_0095,"[[[11, -8], [-8, 2]]]"
