Name,Gauss Notation,Overstrand List,Sign List,Color List,Dihedral Linking Number
10_137,"{1, -2, -3, 4, -5, 6, -4, -7, 8, -9, 7, -10, 2, -1, 9, -8, 10, 3, -6, 5}","[7, 9, 0, 2, 6, 8, 9, 0, 5, 3]","[1, 1, -1, 1, -1, 1, -1, 1, 1, -1]","[[5, 5, 2, 3, 1, 3, 2, 5, 5, 1], [5, 5, 4, 1, 2, 1, 4, 5, 5, 2]]"
10_138,"{1, -2, -3, 4, -5, 6, -4, 7, -8, 9, -7, 10, 2, -1, -9, 8, -10, 3, -6, 5}","[6, 9, 0, 2, 8, 4, 0, 5, 6, 3]","[1, 1, -1, 1, -1, 1, 1, -1, 1, -1]","[[3, 3, 4, 2, 1, 4, 3, 3, 5, 1], [1, 1, 3, 4, 2, 3, 1, 1, 5, 2]]"
10_142,"{1, -2, -3, 4, -5, 6, -7, 8, -9, 3, -4, 5, 10, -1, -8, 7, -6, 9, 2, -10}","[9, 5, 6, 8, 9, 2, 0, 4, 3, 6]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[3, 4, 1, 3, 2, 5, 2, 4, 5, 1], [1, 3, 2, 1, 4, 5, 4, 3, 5, 2]]"
10_155,"{1, -2, 3, -4, 5, 6, -7, -8, 9, -1, 2, -3, 10, -5, 8, -9, 4, -10, -6, 7}","[5, 8, 0, 7, 0, 1, 2, 4, 6, 2]","[1, -1, -1, -1, 1, 1, -1, -1, 1, -1]","[[2, 1, 4, 5, 5, 4, 3, 5, 5, 1], [4, 2, 3, 5, 5, 3, 1, 5, 5, 2], [3, 3, 4, 2, 3, 3, 3, 5, 1, 5], [5, 4, 3, 2, 3, 2, 1, 5, 1, 1], [2, 5, 2, 2, 3, 1, 4, 5, 1, 2], [4, 1, 1, 2, 3, 5, 2, 5, 1, 3], [1, 2, 5, 2, 3, 4, 5, 5, 1, 4], [1, 1, 3, 4, 1, 1, 1, 5, 2, 5], [3, 2, 2, 4, 1, 5, 4, 5, 2, 1], [5, 3, 1, 4, 1, 4, 2, 5, 2, 2], [2, 4, 5, 4, 1, 3, 5, 5, 2, 3], [4, 5, 4, 4, 1, 2, 3, 5, 2, 4]]"
10_156,"{1, -2, 3, -4, 5, -6, 7, -3, -8, 9, 10, -1, 6, -5, -9, 8, 4, -7, 2, -10}","[9, 8, 6, 1, 8, 0, 2, 5, 3, 5]","[1, -1, -1, -1, -1, 1, -1, -1, -1, 1]","[[1, 1, 4, 3, 4, 1, 1, 2, 5, 1], [2, 2, 3, 1, 3, 2, 2, 4, 5, 2]]"
10_158,"{-1, -2, 3, 4, -5, 6, -7, -3, 8, -9, -4, 5, -10, 1, 9, -8, 2, 7, -6, 10}","[8, 9, 7, 9, 2, 8, 2, 0, 5, 3]","[-1, 1, -1, 1, 1, 1, -1, -1, 1, 1]","[[3, 4, 3, 2, 5, 1, 1, 5, 1, 1], [1, 3, 1, 4, 5, 2, 2, 5, 2, 2]]"
10_161,"{1, -2, -3, 4, -5, 6, -7, 3, 8, -9, 10, -1, -6, 5, 9, -8, -4, 7, 2, -10}","[9, 4, 7, 9, 7, 0, 3, 4, 2, 5]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[1, 1, 3, 5, 2, 1, 1, 4, 5, 1], [2, 2, 1, 5, 4, 2, 2, 3, 5, 2]]"
10_162,"{-1, 2, -3, -4, 5, 6, -7, 8, -2, 9, 4, -5, -10, 1, -8, 7, -6, 3, -9, 10}","[7, 9, 5, 8, 1, 3, 0, 4, 3, 5]","[-1, 1, -1, 1, -1, -1, -1, 1, 1, -1]","[[3, 4, 3, 1, 1, 2, 5, 1, 1, 1], [1, 3, 1, 2, 2, 4, 5, 2, 2, 2]]"
10_164,"{-1, 2, 3, -4, -5, 6, -7, 8, 4, -9, -2, 1, -6, 10, -8, -3, 9, 5, -10, 7}","[6, 4, 9, 0, 9, 1, 3, 4, 1, 7]","[-1, -1, 1, -1, 1, -1, -1, 1, 1, 1]","[[1, 3, 3, 4, 3, 4, 2, 1, 5, 1], [2, 1, 1, 3, 1, 3, 4, 2, 5, 2]]"
11a_3,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 4, -7, 8, -5, 6, -9, 10, -11, 7, -8, 9, -10, 11}","[2, 4, 5, 7, 1, 9, 3, 10, 0, 6, 8, 11]","[-1, 1, -1, -1, 1, 1, -1, 1, 1, 1, 1, 1]","[[2, 5, 1, 3, 3, 2, 3, 3, 4, 5, 1, 2], [4, 5, 2, 1, 1, 4, 1, 1, 3, 5, 2, 4]]"
11a_5,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 4, -7, 8, -9, 6, -5, 9, -10, 11, -8, 7, -11, 10}","[2, 4, 5, 7, 1, 10, 8, 3, 0, 6, 9, 11]","[-1, 1, -1, 1, 1, -1, -1, 1, 1, -1, 1, 1]","[[4, 1, 5, 3, 3, 4, 3, 3, 3, 5, 1, 4], [3, 2, 5, 1, 1, 3, 1, 1, 1, 5, 2, 3]]"
11a_6,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 4, -7, 8, -9, 10, -5, 6, -10, 7, -11, 9, -8, 11}","[2, 4, 5, 8, 1, 9, 10, 3, 7, 0, 6, 11]","[-1, 1, -1, -1, 1, -1, 1, -1, -1, -1, 1, 1]","[[3, 4, 1, 5, 5, 3, 2, 5, 5, 5, 1, 3], [1, 3, 2, 5, 5, 1, 4, 5, 5, 5, 2, 1]]"
11a_7,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 4, -7, 8, -9, 10, -5, 6, -11, 7, -8, 9, -10, 11}","[2, 4, 5, 8, 1, 9, 10, 3, 0, 6, 7, 11]","[-1, 1, -1, -1, 1, 1, 1, -1, 1, 1, 1, 1]","[[2, 3, 5, 4, 4, 2, 3, 4, 4, 5, 1, 2], [4, 1, 5, 3, 3, 4, 1, 3, 3, 5, 2, 4]]"
11a_9,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 4, -7, 8, -9, 10, -11, 6, -5, 7, -8, 9, -10, 11}","[2, 4, 5, 8, 1, 9, 10, 0, 3, 6, 7, 11]","[-1, 1, -1, 1, 1, -1, -1, -1, 1, -1, -1, 1]","[[2, 1, 4, 5, 5, 2, 3, 4, 5, 5, 1, 2], [4, 2, 3, 5, 5, 4, 1, 3, 5, 5, 2, 4]]"
11a_16,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -8, 4, -5, 6, -9, 10, -11, 8, -7, 11, -10, 9}","[2, 4, 6, 1, 7, 9, 3, 0, 10, 5, 8, 11]","[-1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1]","[[3, 4, 1, 3, 5, 3, 2, 4, 2, 5, 1, 3], [1, 3, 2, 1, 5, 1, 4, 3, 4, 5, 2, 1]]"
